"Nome do anúncio",Anúncios,Idade,Gênero,Dia,Objetivo,Alcance,Impressões,Frequência,"Valor gasto (BRL)","Tipo de resultado",Resultados,"Custo por resultado","Status de veiculação","Nível de veiculação","Reproduções de 25% do vídeo","Reproduções de 50% do vídeo","Reproduções de 75% do vídeo","Reproduções de 95% do vídeo","Reproduções de 100% do vídeo","Seguidores no Instagram","Cliques no link",Objetivo,"Custo por 1.000 Contas Meta alcançadas","Tipo de valor de resultado","Valor dos resultados","Início dos relatórios","Encerramento dos relatórios","Resultados (iniciais)"
"Salto dourado | vídeo","Salto dourado | vídeo",18-24,female,2026-09-12,OUTCOME_ENGAGEMENT,3,3,1,0.01,,,,not_delivering,ad,,,,,,0,,Engajamento,3.33333333,,,2026-09-12,2026-09-12,
"Salto dourado | vídeo","Salto dourado | vídeo",25-34,female,2026-09-12,OUTCOME_ENGAGEMENT,8,9,1.125,0.06,,,,not_delivering,ad,,,,,,0,,Engajamento,7.5,,,2026-09-12,2026-09-12,
"Salto dourado | vídeo","Salto dourado | vídeo",35-44,female,2026-09-12,OUTCOME_ENGAGEMENT,4,4,1,0.05,,,,not_delivering,ad,,,,,,0,,Engajamento,12.5,,,2026-09-12,2026-09-12,
"Bolsa e salto marrom | imagem","Bolsa e salto marrom | imagem",25-34,female,2026-09-12,OUTCOME_ENGAGEMENT,7,7,1,0.07,,,,not_delivering,ad,,,,,,0,,Engajamento,10,,,2026-09-12,2026-09-12,
"Bolsa e salto marrom | imagem","Bolsa e salto marrom | imagem",35-44,female,2026-09-12,OUTCOME_ENGAGEMENT,4,4,1,0.03,,,,not_delivering,ad,,,,,,0,,Engajamento,7.5,,,2026-09-12,2026-09-12,
"Bolsa e salto marrom | imagem","Bolsa e salto marrom | imagem",18-24,female,2026-09-12,OUTCOME_ENGAGEMENT,12,13,1.08333333,0.08,,,,not_delivering,ad,,,,,,0,,Engajamento,6.66666667,,,2026-09-12,2026-09-12,
"Bolsa e salto marrom | imagem","Bolsa e salto marrom | imagem",25-34,female,2026-09-11,OUTCOME_ENGAGEMENT,418,545,1.30382775,3.4,,,,not_delivering,ad,,,,,,0,3,Engajamento,8.13397129,,,2026-09-11,2026-09-11,
"Bolsa e salto marrom | imagem","Bolsa e salto marrom | imagem",35-44,female,2026-09-11,OUTCOME_ENGAGEMENT,456,558,1.22368421,5.62,"Conversas por mensagem iniciadas",1,5.62,not_delivering,ad,,,,,,1,7,Engajamento,12.3245614,,,2026-09-11,2026-09-11,
"Bolsa e salto marrom | imagem","Bolsa e salto marrom | imagem",18-24,female,2026-09-11,OUTCOME_ENGAGEMENT,464,638,1.375,3.54,"Conversas por mensagem iniciadas",1,3.54,not_delivering,ad,,,,,,1,7,Engajamento,7.62931034,,,2026-09-11,2026-09-11,
"Salto dourado | vídeo","Salto dourado | vídeo",35-44,female,2026-09-11,OUTCOME_ENGAGEMENT,455,604,1.32747253,5.73,,,,not_delivering,ad,,,,,,0,5,Engajamento,12.59340659,,,2026-09-11,2026-09-11,
